,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
712,name713,lastname713,FEB,3,2001,BS ME,0917 323 8702,Male,Globe
713,name714,lastname714,DEC,20,1998,BS MGT,0918 218 9517,Male,Smart
714,name715,lastname715,MAY,4,1998,BS MGT,0927 338 2750,Female,Globe
715,name716,lastname716,MAR,12,1998,BS LM,0917 663 8547,Male,Globe
716,name717,lastname717,MAY,26,1999,BS CTM,0918 656 4865,Female,Smart
717,name718,lastname718,FEB,12,1997,BS MGT,0918 657 4923,Female,Smart
718,name719,lastname719,SEP,16,1998,BS LM,0917 588 2431,Male,Globe
719,name720,lastname720,FEB,2,2001,BS LM,0917 496 4484,Female,Globe
720,name721,lastname721,SEP,3,1999,BS ITE,0927 476 2773,Male,Globe
721,name722,lastname722,JUN,19,1999,BS CTM,0917 858 3626,Female,Globe
722,name723,lastname723,SEP,10,1999,BS CTM,0927 787 7491,Female,Globe
723,name724,lastname724,SEP,7,2001,BS MGT,0917 535 1270,Male,Globe
724,name725,lastname725,JAN,14,1998,BS MGT,0918 560 4115,Female,Smart
725,name726,lastname726,JUN,23,1997,BS ME,0918 167 8692,Female,Smart
726,name727,lastname727,FEB,7,1997,BS MGT,0927 929 3994,Female,Globe
727,name728,lastname728,JUN,13,1997,BS CTM,0927 309 3402,Male,Globe
728,name729,lastname729,JAN,24,1998,BS MGT,0918 354 8194,Male,Smart
729,name730,lastname730,NOV,7,1999,BS MGT,0917 181 5471,Male,Globe
730,name731,lastname731,OCT,12,1998,BS ME,0917 802 1065,Female,Globe
731,name732,lastname732,OCT,9,1999,BS CTM,0927 752 4483,Female,Globe
732,name733,lastname733,NOV,13,1999,BS CTM,0927 751 4676,Male,Globe
733,name734,lastname734,NOV,26,1998,BS MGT,0918 335 9195,Male,Smart
734,name735,lastname735,FEB,10,1998,BS MGT,0917 299 3945,Female,Globe
735,name736,lastname736,FEB,13,1998,BS LM,0927 211 1491,Male,Globe
736,name737,lastname737,NOV,23,2001,BS ITE,0927 216 7464,Male,Globe
737,name738,lastname738,JUL,7,2000,BS ME,0918 883 4422,Female,Smart
738,name739,lastname739,APR,12,1999,BS LM,0917 585 5181,Female,Globe
739,name740,lastname740,MAR,20,1998,BS LM,0917 350 4703,Female,Globe
740,name741,lastname741,SEP,5,1998,BS CTM,0917 722 5363,Female,Globe
741,name742,lastname742,SEP,2,1997,BS ME,0918 198 7932,Female,Smart
742,name743,lastname743,JUL,14,1998,BS ITE,0917 954 6667,Female,Globe
743,name744,lastname744,OCT,28,1997,BS ITE,0927 509 7514,Female,Globe
744,name745,lastname745,OCT,5,1998,BS MGT,0927 796 6417,Male,Globe
745,name746,lastname746,DEC,7,2001,BS ITE,0927 698 3622,Male,Globe
746,name747,lastname747,DEC,18,1999,BS ITE,0918 746 8659,Male,Smart
747,name748,lastname748,APR,5,2001,BS MGT,0917 561 4001,Female,Globe
748,name749,lastname749,FEB,17,1997,BS ME,0927 163 7846,Female,Globe
749,name750,lastname750,DEC,1,1997,BS MGT,0927 659 3077,Male,Globe
750,name751,lastname751,NOV,19,1998,BS ITE,0917 682 3751,Male,Globe
751,name752,lastname752,APR,11,2000,BS LM,0927 111 2887,Female,Globe
752,name753,lastname753,JUN,1,2000,BS CTM,0918 809 4167,Female,Smart
753,name754,lastname754,JUN,15,2000,BS MGT,0917 380 7974,Female,Globe
754,name755,lastname755,JUN,16,2000,BS ME,0918 234 8018,Male,Smart
755,name756,lastname756,AUG,16,1999,BS MGT,0917 738 2557,Female,Globe
756,name757,lastname757,DEC,13,1999,BS ME,0927 665 6829,Male,Globe
757,name758,lastname758,DEC,15,1998,BS CTM,0927 103 9845,Male,Globe
758,name759,lastname759,NOV,15,1999,BS ITE,0918 716 1196,Male,Smart
759,name760,lastname760,APR,21,1997,BS CTM,0917 889 2089,Male,Globe
760,name761,lastname761,MAR,22,1998,BS MGT,0917 536 5199,Female,Globe
761,name762,lastname762,JAN,7,2001,BS ME,0927 201 3572,Male,Globe
762,name763,lastname763,OCT,25,1998,BS LM,0927 773 8564,Male,Globe
763,name764,lastname764,APR,27,1999,BS LM,0927 562 9584,Female,Globe
764,name765,lastname765,NOV,21,2000,BS CTM,0927 573 8454,Female,Globe
765,name766,lastname766,JUN,13,1998,BS ITE,0917 637 5575,Male,Globe
766,name767,lastname767,FEB,14,1999,BS ME,0927 293 1334,Male,Globe
767,name768,lastname768,APR,6,2000,BS LM,0917 166 8658,Female,Globe
768,name769,lastname769,JUN,28,1997,BS ITE,0918 108 9862,Male,Smart
769,name770,lastname770,APR,4,2001,BS ME,0917 204 2709,Male,Globe
770,name771,lastname771,DEC,27,2000,BS ME,0927 882 6056,Male,Globe
771,name772,lastname772,MAY,12,1997,BS ME,0927 161 6194,Female,Globe
772,name773,lastname773,DEC,1,1999,BS LM,0918 906 6087,Female,Smart
773,name774,lastname774,JUL,7,1999,BS ME,0927 658 1298,Male,Globe
774,name775,lastname775,OCT,3,1997,BS ITE,0917 424 4286,Female,Globe
775,name776,lastname776,NOV,16,1998,BS ME,0918 939 2456,Male,Smart
776,name777,lastname777,DEC,7,1998,BS LM,0927 870 5781,Male,Globe
777,name778,lastname778,NOV,19,1998,BS ITE,0927 395 8840,Female,Globe
778,name779,lastname779,FEB,26,1999,BS LM,0917 270 6901,Male,Globe
779,name780,lastname780,MAR,23,1999,BS MGT,0917 952 6452,Male,Globe
780,name781,lastname781,JUN,18,2001,BS ITE,0927 418 3742,Male,Globe
781,name782,lastname782,JAN,7,1997,BS ME,0918 233 8431,Male,Smart
782,name783,lastname783,JAN,13,2001,BS CTM,0918 219 7061,Male,Smart
783,name784,lastname784,OCT,13,1998,BS MGT,0927 298 9517,Male,Globe
784,name785,lastname785,NOV,10,1999,BS CTM,0918 853 5737,Male,Smart
785,name786,lastname786,JAN,20,1999,BS ME,0917 731 6873,Male,Globe
786,name787,lastname787,MAY,6,1999,BS LM,0927 927 3411,Female,Globe
787,name788,lastname788,DEC,10,1999,BS ITE,0918 304 1152,Female,Smart
788,name789,lastname789,JUN,6,1998,BS ME,0927 479 4510,Female,Globe
789,name790,lastname790,NOV,8,1999,BS ME,0917 541 7757,Male,Globe
790,name791,lastname791,FEB,2,1998,BS MGT,0918 892 1734,Male,Smart
791,name792,lastname792,JUN,28,1998,BS LM,0917 551 8650,Female,Globe
792,name793,lastname793,JAN,19,2000,BS MGT,0918 468 7521,Male,Smart
793,name794,lastname794,APR,17,1999,BS CTM,0917 241 9293,Male,Globe
794,name795,lastname795,JUL,20,1999,BS LM,0917 805 7437,Female,Globe
795,name796,lastname796,JUN,28,1998,BS MGT,0927 494 5884,Female,Globe
796,name797,lastname797,SEP,27,1999,BS MGT,0917 846 2976,Male,Globe
797,name798,lastname798,OCT,8,1999,BS MGT,0917 982 7959,Male,Globe
798,name799,lastname799,OCT,6,1997,BS LM,0917 763 4267,Male,Globe
799,name800,lastname800,OCT,4,2000,BS ME,0927 925 9558,Male,Globe
800,name801,lastname801,JUL,9,1998,BS CTM,0918 222 8588,Female,Smart
801,name802,lastname802,SEP,20,2000,BS LM,0917 432 8589,Female,Globe
802,name803,lastname803,SEP,8,1999,BS ME,0927 141 1347,Male,Globe
803,name804,lastname804,JAN,4,2000,BS CTM,0918 335 4115,Female,Smart
804,name805,lastname805,FEB,22,1999,BS MGT,0927 672 2746,Male,Globe
805,name806,lastname806,SEP,16,1998,BS ME,0917 894 5967,Female,Globe
806,name807,lastname807,AUG,16,1999,BS MGT,0917 293 8858,Male,Globe
807,name808,lastname808,FEB,5,1997,BS LM,0917 340 6918,Female,Globe
808,name809,lastname809,MAR,16,1999,BS LM,0917 542 4578,Female,Globe
809,name810,lastname810,JUL,27,2001,BS MGT,0927 488 5698,Male,Globe
810,name811,lastname811,SEP,12,1997,BS LM,0917 710 6722,Female,Globe
811,name812,lastname812,APR,3,2000,BS ITE,0927 312 1350,Male,Globe
812,name813,lastname813,JUL,22,1998,BS ITE,0927 930 8635,Male,Globe
813,name814,lastname814,SEP,24,2001,BS LM,0918 674 6521,Male,Smart
814,name815,lastname815,MAY,28,1997,BS MGT,0917 378 9770,Male,Globe
815,name816,lastname816,OCT,22,2000,BS ME,0917 744 7100,Male,Globe
816,name817,lastname817,MAY,23,2000,BS LM,0927 617 8372,Female,Globe
817,name818,lastname818,MAY,5,1997,BS ME,0918 114 7136,Female,Smart
818,name819,lastname819,MAR,2,2000,BS ITE,0927 842 2036,Male,Globe
819,name820,lastname820,MAY,8,2001,BS MGT,0917 318 2989,Male,Globe
820,name821,lastname821,DEC,20,2001,BS MGT,0918 936 7960,Female,Smart
821,name822,lastname822,FEB,28,1998,BS LM,0918 417 7143,Female,Smart
822,name823,lastname823,FEB,26,1998,BS CTM,0927 892 4500,Female,Globe
823,name824,lastname824,JUN,28,1997,BS LM,0918 481 9803,Female,Smart
824,name825,lastname825,DEC,10,1998,BS ME,0917 819 3783,Male,Globe
825,name826,lastname826,JAN,1,1998,BS CTM,0918 126 2024,Female,Smart
826,name827,lastname827,NOV,21,1997,BS MGT,0927 562 3224,Female,Globe
827,name828,lastname828,JUL,13,2000,BS ME,0918 308 7447,Female,Smart
828,name829,lastname829,SEP,7,2001,BS MGT,0917 447 9808,Female,Globe
829,name830,lastname830,AUG,19,1999,BS MGT,0927 549 7794,Male,Globe
830,name831,lastname831,JAN,2,1999,BS ITE,0917 239 1786,Female,Globe
831,name832,lastname832,AUG,20,1998,BS CTM,0927 763 5312,Female,Globe
832,name833,lastname833,SEP,15,2000,BS ITE,0917 417 7432,Female,Globe
833,name834,lastname834,MAY,15,2001,BS CTM,0917 116 7049,Female,Globe
834,name835,lastname835,AUG,25,2001,BS LM,0918 573 6898,Male,Smart
835,name836,lastname836,MAR,26,2001,BS ME,0927 931 9624,Female,Globe
836,name837,lastname837,NOV,14,2000,BS CTM,0927 857 6715,Female,Globe
837,name838,lastname838,DEC,13,2001,BS CTM,0918 747 9833,Male,Smart
838,name839,lastname839,SEP,3,1998,BS MGT,0917 494 4004,Male,Globe
839,name840,lastname840,OCT,22,1998,BS CTM,0927 677 8540,Female,Globe
840,name841,lastname841,AUG,20,1999,BS MGT,0917 723 1059,Male,Globe
841,name842,lastname842,JUL,22,1999,BS ITE,0927 407 5637,Female,Globe
842,name843,lastname843,APR,4,1997,BS MGT,0927 873 8336,Female,Globe
843,name844,lastname844,MAY,28,1999,BS ME,0917 284 2175,Male,Globe
844,name845,lastname845,SEP,7,1998,BS ITE,0918 450 1669,Male,Smart
845,name846,lastname846,SEP,1,1997,BS LM,0918 337 6525,Female,Smart
846,name847,lastname847,NOV,15,1998,BS ME,0927 963 1010,Female,Globe
847,name848,lastname848,AUG,17,1999,BS ITE,0918 782 1125,Female,Smart
848,name849,lastname849,SEP,15,1997,BS CTM,0927 158 9777,Male,Globe
849,name850,lastname850,NOV,16,2001,BS ME,0918 454 2076,Female,Smart
850,name851,lastname851,JUL,4,1997,BS LM,0918 681 4113,Female,Smart
851,name852,lastname852,JUL,1,1997,BS LM,0927 402 8839,Female,Globe
852,name853,lastname853,JUN,21,2000,BS CTM,0927 180 3943,Male,Globe
853,name854,lastname854,SEP,6,1997,BS ITE,0918 175 3354,Male,Smart
854,name855,lastname855,FEB,23,1998,BS ME,0917 816 3618,Female,Globe
855,name856,lastname856,MAY,7,1998,BS MGT,0927 119 9872,Female,Globe
856,name857,lastname857,SEP,13,1998,BS LM,0917 795 3886,Female,Globe
857,name858,lastname858,APR,18,2000,BS ITE,0927 106 6957,Male,Globe
858,name859,lastname859,NOV,20,2001,BS LM,0918 513 9069,Female,Smart
859,name860,lastname860,APR,19,1997,BS ME,0918 713 5212,Female,Smart
860,name861,lastname861,DEC,27,1998,BS ITE,0918 685 4917,Female,Smart
861,name862,lastname862,JUL,3,1998,BS MGT,0927 581 1326,Male,Globe
862,name863,lastname863,FEB,12,2001,BS MGT,0927 618 6967,Female,Globe
863,name864,lastname864,JUL,12,1999,BS LM,0918 357 1556,Male,Smart
864,name865,lastname865,MAY,17,2001,BS LM,0917 693 6203,Male,Globe
865,name866,lastname866,MAY,16,1998,BS LM,0927 248 6994,Male,Globe
866,name867,lastname867,MAR,28,1997,BS ITE,0917 143 6591,Male,Globe
867,name868,lastname868,JAN,11,1999,BS ME,0917 299 3591,Male,Globe
868,name869,lastname869,JUL,27,1997,BS CTM,0927 592 1019,Male,Globe
869,name870,lastname870,JAN,11,1999,BS CTM,0918 155 7151,Male,Smart
870,name871,lastname871,JUL,7,1999,BS CTM,0917 403 6185,Female,Globe
871,name872,lastname872,MAR,23,1997,BS CTM,0917 420 2785,Female,Globe
872,name873,lastname873,MAY,17,1999,BS ME,0918 966 3409,Female,Smart
873,name874,lastname874,JAN,10,1998,BS CTM,0918 646 6350,Female,Smart
874,name875,lastname875,JUN,17,2001,BS ITE,0927 400 5224,Female,Globe
875,name876,lastname876,FEB,21,2001,BS CTM,0918 908 6977,Female,Smart
876,name877,lastname877,AUG,27,2001,BS ITE,0918 638 9959,Female,Smart
877,name878,lastname878,JUL,22,1999,BS LM,0918 616 5326,Male,Smart
878,name879,lastname879,DEC,25,1998,BS ME,0918 139 7536,Male,Smart
879,name880,lastname880,MAR,17,1998,BS ME,0917 533 5972,Female,Globe
880,name881,lastname881,DEC,2,2000,BS ITE,0917 221 7566,Female,Globe
881,name882,lastname882,APR,5,1999,BS CTM,0927 530 7214,Female,Globe
882,name883,lastname883,JUL,4,1997,BS LM,0917 868 9083,Female,Globe
883,name884,lastname884,APR,23,2000,BS LM,0918 660 3128,Female,Smart
884,name885,lastname885,DEC,11,2000,BS MGT,0927 175 2972,Male,Globe
885,name886,lastname886,OCT,26,1997,BS LM,0917 276 8699,Female,Globe
886,name887,lastname887,APR,4,2000,BS ME,0917 210 7063,Female,Globe
887,name888,lastname888,JUL,2,1998,BS MGT,0927 127 3113,Female,Globe
888,name889,lastname889,JUL,20,2001,BS MGT,0917 977 3508,Male,Globe
889,name890,lastname890,NOV,2,1998,BS MGT,0917 328 9205,Male,Globe
890,name891,lastname891,AUG,13,2000,BS ME,0918 821 7480,Female,Smart
891,name892,lastname892,MAR,26,1998,BS ME,0917 689 2678,Male,Globe
892,name893,lastname893,JUL,2,1998,BS LM,0927 597 4601,Female,Globe
893,name894,lastname894,MAR,21,1999,BS LM,0917 165 3793,Male,Globe
894,name895,lastname895,FEB,14,1999,BS ITE,0917 166 3062,Male,Globe
895,name896,lastname896,OCT,10,1998,BS LM,0927 346 9730,Male,Globe
896,name897,lastname897,OCT,1,2000,BS MGT,0918 912 7678,Male,Smart
897,name898,lastname898,APR,17,1999,BS ITE,0917 170 1087,Male,Globe
898,name899,lastname899,AUG,3,1997,BS MGT,0918 972 7480,Male,Smart
899,name900,lastname900,DEC,4,1997,BS LM,0927 700 9691,Female,Globe
900,name901,lastname901,APR,2,2001,BS CTM,0927 992 8635,Male,Globe
901,name902,lastname902,JAN,18,2001,BS ITE,0918 101 2444,Female,Smart
902,name903,lastname903,MAY,27,1997,BS MGT,0918 111 3466,Female,Smart
903,name904,lastname904,DEC,8,1997,BS ME,0917 991 3757,Female,Globe
904,name905,lastname905,MAR,12,1999,BS ITE,0917 607 4978,Female,Globe
905,name906,lastname906,OCT,12,1998,BS LM,0918 901 1766,Female,Smart
906,name907,lastname907,JUL,25,1997,BS CTM,0917 774 3282,Female,Globe
907,name908,lastname908,JAN,11,1999,BS CTM,0918 186 9039,Male,Smart
908,name909,lastname909,DEC,27,1998,BS CTM,0918 931 9646,Male,Smart
909,name910,lastname910,SEP,15,2001,BS CTM,0918 959 8390,Female,Smart
910,name911,lastname911,NOV,9,1997,BS MGT,0918 566 3286,Male,Smart
911,name912,lastname912,DEC,1,1998,BS MGT,0918 599 4332,Female,Smart
912,name913,lastname913,JUN,23,1999,BS MGT,0927 573 4571,Male,Globe
913,name914,lastname914,MAR,23,1999,BS ITE,0917 798 2620,Female,Globe
914,name915,lastname915,APR,19,1997,BS LM,0917 265 9185,Female,Globe
915,name916,lastname916,JAN,24,1997,BS CTM,0927 753 1533,Male,Globe
916,name917,lastname917,AUG,17,2001,BS ITE,0917 588 3224,Male,Globe
917,name918,lastname918,NOV,9,1997,BS LM,0918 870 2621,Female,Smart
918,name919,lastname919,MAR,18,1997,BS CTM,0918 982 6506,Male,Smart
919,name920,lastname920,NOV,12,2000,BS ME,0917 710 6432,Male,Globe
920,name921,lastname921,JUL,21,2001,BS MGT,0927 689 3928,Male,Globe
921,name922,lastname922,MAY,25,2000,BS LM,0918 723 7128,Male,Smart
922,name923,lastname923,JAN,17,2001,BS MGT,0927 188 1317,Male,Globe
923,name924,lastname924,JUL,14,1997,BS CTM,0917 751 9632,Male,Globe
924,name925,lastname925,NOV,4,1999,BS CTM,0917 409 7669,Female,Globe
925,name926,lastname926,APR,24,1998,BS ITE,0918 777 1156,Male,Smart
926,name927,lastname927,JUL,28,1997,BS ME,0918 390 2146,Male,Smart
927,name928,lastname928,FEB,13,1997,BS ME,0918 675 5512,Female,Smart
928,name929,lastname929,NOV,21,1999,BS ITE,0918 450 7839,Female,Smart
929,name930,lastname930,NOV,25,1999,BS ME,0927 950 5397,Male,Globe
930,name931,lastname931,MAR,16,1998,BS MGT,0917 409 7205,Male,Globe
931,name932,lastname932,AUG,5,1999,BS MGT,0927 768 9251,Male,Globe
932,name933,lastname933,JUN,12,1999,BS LM,0927 860 1383,Female,Globe
933,name934,lastname934,JUL,28,2000,BS ME,0927 966 2788,Female,Globe
934,name935,lastname935,AUG,24,1999,BS CTM,0918 597 5321,Male,Smart
935,name936,lastname936,NOV,2,2000,BS LM,0918 720 1768,Male,Smart
936,name937,lastname937,JAN,8,1998,BS MGT,0918 582 3906,Male,Smart
937,name938,lastname938,JAN,22,2000,BS ME,0918 184 3212,Female,Smart
938,name939,lastname939,APR,17,1997,BS ME,0917 271 5839,Female,Globe
939,name940,lastname940,JUN,6,1998,BS MGT,0917 977 7795,Female,Globe
940,name941,lastname941,JUL,21,1999,BS ME,0917 165 6593,Male,Globe
941,name942,lastname942,AUG,14,2000,BS CTM,0917 223 2556,Male,Globe
942,name943,lastname943,APR,24,1999,BS CTM,0927 770 7950,Male,Globe
943,name944,lastname944,NOV,13,1998,BS CTM,0927 664 6148,Female,Globe
944,name945,lastname945,NOV,2,1999,BS ITE,0927 890 5180,Female,Globe
945,name946,lastname946,SEP,20,1998,BS ME,0927 644 4841,Female,Globe
946,name947,lastname947,SEP,27,1999,BS ME,0917 505 1295,Male,Globe
947,name948,lastname948,JUL,9,1998,BS ITE,0917 906 6791,Female,Globe
948,name949,lastname949,AUG,7,2000,BS ME,0917 374 6420,Female,Globe
949,name950,lastname950,JUL,15,1997,BS MGT,0927 295 1812,Female,Globe
950,name951,lastname951,AUG,20,2000,BS ME,0917 689 8285,Female,Globe
951,name952,lastname952,APR,7,1998,BS LM,0918 678 4969,Male,Smart
952,name953,lastname953,JUL,16,2001,BS LM,0918 294 9247,Female,Smart
953,name954,lastname954,APR,23,2000,BS CTM,0918 780 7638,Female,Smart
954,name955,lastname955,NOV,4,1998,BS ITE,0918 760 1168,Male,Smart
955,name956,lastname956,NOV,16,1997,BS LM,0927 373 9248,Male,Globe
956,name957,lastname957,MAR,15,1997,BS MGT,0918 501 9104,Male,Smart
957,name958,lastname958,JUN,23,1999,BS CTM,0917 316 9587,Male,Globe
958,name959,lastname959,NOV,1,1997,BS ME,0927 234 2768,Female,Globe
959,name960,lastname960,AUG,5,1998,BS MGT,0918 949 2654,Male,Smart
960,name961,lastname961,OCT,28,1997,BS ME,0917 815 2634,Male,Globe
961,name962,lastname962,JUN,24,1998,BS ITE,0927 772 9962,Female,Globe
962,name963,lastname963,DEC,25,1997,BS ITE,0917 309 4471,Male,Globe
963,name964,lastname964,MAR,24,2000,BS CTM,0917 749 3301,Male,Globe
964,name965,lastname965,JUL,21,1997,BS CTM,0927 384 2721,Female,Globe
965,name966,lastname966,NOV,15,1999,BS ITE,0917 237 8133,Female,Globe
966,name967,lastname967,MAR,26,1999,BS ITE,0927 964 4299,Male,Globe
967,name968,lastname968,MAR,19,2000,BS CTM,0917 240 9076,Female,Globe
968,name969,lastname969,JUN,2,1998,BS ITE,0917 176 9439,Female,Globe
969,name970,lastname970,JUL,9,1997,BS ME,0927 100 9164,Male,Globe
970,name971,lastname971,APR,9,1998,BS ME,0927 730 8393,Female,Globe
971,name972,lastname972,NOV,28,1999,BS CTM,0917 389 5738,Male,Globe
972,name973,lastname973,MAY,25,1997,BS ME,0917 634 5100,Male,Globe
973,name974,lastname974,DEC,20,2001,BS ITE,0927 357 1836,Male,Globe
974,name975,lastname975,MAR,11,2000,BS ME,0917 868 4656,Female,Globe
975,name976,lastname976,NOV,7,1999,BS LM,0918 918 7519,Female,Smart
976,name977,lastname977,MAR,21,1999,BS ME,0918 632 8482,Female,Smart
977,name978,lastname978,NOV,25,1997,BS ME,0917 525 6204,Female,Globe
978,name979,lastname979,SEP,23,1998,BS MGT,0927 765 1941,Male,Globe
979,name980,lastname980,DEC,14,2001,BS LM,0918 606 4478,Female,Smart
980,name981,lastname981,MAR,10,1999,BS CTM,0927 760 8017,Male,Globe
981,name982,lastname982,JUN,21,2000,BS LM,0917 829 3943,Female,Globe
982,name983,lastname983,MAR,24,1999,BS LM,0917 662 1872,Male,Globe
983,name984,lastname984,JUL,22,1999,BS LM,0917 283 7138,Female,Globe
984,name985,lastname985,NOV,17,2001,BS CTM,0927 254 1823,Female,Globe
985,name986,lastname986,FEB,28,2000,BS CTM,0917 628 1470,Female,Globe
986,name987,lastname987,JAN,13,1997,BS MGT,0927 147 7217,Female,Globe
987,name988,lastname988,DEC,27,1997,BS LM,0917 314 4815,Male,Globe
988,name989,lastname989,FEB,26,1999,BS ME,0918 168 3635,Male,Smart
989,name990,lastname990,OCT,4,1998,BS MGT,0918 313 9787,Male,Smart
990,name991,lastname991,NOV,22,2000,BS MGT,0927 117 4649,Male,Globe
991,name992,lastname992,AUG,14,1999,BS LM,0927 528 8069,Female,Globe
992,name993,lastname993,JUL,5,2000,BS MGT,0918 851 8170,Male,Smart
993,name994,lastname994,MAY,20,1998,BS ME,0927 793 3024,Female,Globe
994,name995,lastname995,JUN,11,1999,BS ITE,0927 871 6633,Male,Globe
995,name996,lastname996,MAY,4,1998,BS LM,0927 159 8838,Female,Globe
996,name997,lastname997,SEP,24,1997,BS MGT,0918 333 2036,Male,Smart
997,name998,lastname998,MAR,4,1999,BS CTM,0917 116 1724,Male,Globe
998,name999,lastname999,JAN,11,1999,BS MGT,0917 997 1830,Female,Globe
999,name1000,lastname1000,JUL,24,1998,BS LM,0927 789 2057,Female,Globe
1000,name1001,lastname1001,OCT,13,1999,BS LM,0918 226 5829,Male,Smart
1001,name1002,lastname1002,JAN,16,1997,BS ITE,0917 189 5851,Female,Globe
1002,name1003,lastname1003,JUL,1,1999,BS ITE,0917 577 5113,Female,Globe
1003,name1004,lastname1004,JUN,8,1997,BS ME,0918 633 2873,Female,Smart
1004,name1005,lastname1005,JAN,14,2000,BS MGT,0918 107 4666,Female,Smart
1005,name1006,lastname1006,MAR,23,1999,BS ITE,0917 575 1571,Male,Globe
1006,name1007,lastname1007,SEP,14,1997,BS MGT,0918 673 9002,Male,Smart
1007,name1008,lastname1008,MAY,13,1998,BS CTM,0927 455 7889,Female,Globe
1008,name1009,lastname1009,FEB,23,1998,BS MGT,0918 790 1682,Female,Smart
1009,name1010,lastname1010,MAY,25,1999,BS MGT,0917 254 7870,Female,Globe
1010,name1011,lastname1011,APR,9,1999,BS LM,0918 652 6097,Male,Smart
1011,name1012,lastname1012,MAY,14,1997,BS MGT,0917 120 1564,Female,Globe
1012,name1013,lastname1013,SEP,8,1997,BS MGT,0927 878 8766,Male,Globe
1013,name1014,lastname1014,MAY,1,2001,BS ME,0918 524 3684,Female,Smart
1014,name1015,lastname1015,MAR,10,1997,BS LM,0917 209 4854,Female,Globe
1015,name1016,lastname1016,APR,16,1997,BS CTM,0917 610 8591,Male,Globe
1016,name1017,lastname1017,JAN,17,1998,BS CTM,0918 198 8897,Female,Smart
1017,name1018,lastname1018,FEB,21,1997,BS MGT,0917 470 7921,Male,Globe
1018,name1019,lastname1019,JUL,16,2001,BS MGT,0917 415 3731,Male,Globe
1019,name1020,lastname1020,MAR,13,1999,BS MGT,0917 421 2734,Female,Globe
1020,name1021,lastname1021,MAY,20,1998,BS ITE,0917 286 5078,Male,Globe
1021,name1022,lastname1022,DEC,4,1997,BS ITE,0918 819 6422,Female,Smart
1022,name1023,lastname1023,JUN,28,2000,BS LM,0918 423 3021,Male,Smart
1023,name1024,lastname1024,SEP,9,1998,BS ME,0917 720 3510,Male,Globe
1024,name1025,lastname1025,MAR,8,1999,BS CTM,0918 748 6951,Male,Smart
1025,name1026,lastname1026,JAN,15,1998,BS MGT,0927 426 7423,Female,Globe
1026,name1027,lastname1027,JAN,14,1999,BS ME,0927 556 8003,Female,Globe
1027,name1028,lastname1028,JUN,28,1999,BS MGT,0927 571 1913,Female,Globe
1028,name1029,lastname1029,SEP,11,1999,BS CTM,0927 120 7807,Female,Globe
1029,name1030,lastname1030,APR,7,2001,BS LM,0917 327 6289,Female,Globe
1030,name1031,lastname1031,AUG,21,1999,BS ITE,0918 446 4044,Female,Smart
1031,name1032,lastname1032,DEC,26,1999,BS CTM,0917 959 9685,Male,Globe
1032,name1033,lastname1033,MAY,16,1998,BS CTM,0918 371 7071,Female,Smart
1033,name1034,lastname1034,DEC,15,2000,BS MGT,0927 777 1235,Male,Globe
1034,name1035,lastname1035,JUN,1,1999,BS CTM,0918 657 6901,Female,Smart
1035,name1036,lastname1036,JUN,3,2000,BS MGT,0927 465 6997,Male,Globe
1036,name1037,lastname1037,JAN,19,2001,BS ITE,0918 777 8386,Female,Smart
1037,name1038,lastname1038,JAN,22,1999,BS ME,0918 591 8053,Female,Smart
1038,name1039,lastname1039,JAN,16,2000,BS ME,0917 604 5494,Male,Globe
1039,name1040,lastname1040,DEC,6,1997,BS ME,0918 631 5507,Female,Smart
1040,name1041,lastname1041,FEB,12,1998,BS CTM,0917 803 3974,Female,Globe
1041,name1042,lastname1042,DEC,24,1997,BS LM,0918 821 6331,Male,Smart
1042,name1043,lastname1043,MAR,13,1999,BS CTM,0927 760 2707,Female,Globe
1043,name1044,lastname1044,JUL,2,1997,BS ITE,0918 349 9660,Male,Smart
1044,name1045,lastname1045,MAY,21,1997,BS CTM,0927 713 5773,Male,Globe
1045,name1046,lastname1046,MAY,22,2001,BS MGT,0917 214 4255,Female,Globe
1046,name1047,lastname1047,MAY,25,1998,BS LM,0918 340 3323,Male,Smart
1047,name1048,lastname1048,MAR,25,1998,BS ME,0927 397 4986,Male,Globe
1048,name1049,lastname1049,FEB,1,1997,BS ME,0917 668 9753,Female,Globe
1049,name1050,lastname1050,JUL,28,1998,BS ITE,0917 467 6080,Male,Globe
1050,name1051,lastname1051,JUN,9,2001,BS ME,0927 371 2566,Female,Globe
1051,name1052,lastname1052,APR,6,1997,BS LM,0917 227 5205,Female,Globe
1052,name1053,lastname1053,APR,9,2000,BS ITE,0917 105 9613,Male,Globe
1053,name1054,lastname1054,NOV,7,1998,BS ME,0918 339 7033,Male,Smart
1054,name1055,lastname1055,AUG,23,1999,BS CTM,0918 959 8550,Female,Smart
1055,name1056,lastname1056,APR,6,1999,BS ITE,0918 354 7812,Female,Smart
1056,name1057,lastname1057,FEB,28,2001,BS ME,0918 514 4755,Male,Smart
1057,name1058,lastname1058,NOV,12,2001,BS LM,0927 197 8951,Female,Globe
1058,name1059,lastname1059,APR,11,1998,BS ITE,0918 680 4779,Male,Smart
1059,name1060,lastname1060,JUL,1,2000,BS CTM,0918 645 6025,Male,Smart
